Date,Close
3/4/2019,21.85
3/5/2019,21.97
3/6/2019,21.52
3/7/2019,21.79
3/8/2019,22.37
3/11/2019,22.29
3/12/2019,22.68
3/13/2019,22.86
3/14/2019,22.25
3/15/2019,22.3
3/18/2019,22.05
3/19/2019,22.13
3/20/2019,22.63
3/21/2019,22.75
3/22/2019,22.78
3/25/2019,23.26
3/26/2019,23.35
3/27/2019,23.01
3/28/2019,22.41
3/29/2019,22.42
4/1/2019,21.96
4/2/2019,22.1
4/3/2019,22.07
4/4/2019,22.5
4/5/2019,22.43
4/8/2019,22.69
4/9/2019,22.82
4/10/2019,22.62
4/11/2019,22.25
4/12/2019,22.21
4/15/2019,22.22
4/16/2019,21.81
4/17/2019,21.66
4/18/2019,21.34
4/22/2019,20.98
4/23/2019,20.82
4/24/2019,21.02
4/25/2019,20.87
4/26/2019,21.3
4/29/2019,20.84
4/30/2019,20.89
5/1/2019,20.52
5/2/2019,20.17
5/3/2019,20.29
5/6/2019,20.3
5/7/2019,20.71
5/8/2019,20.48
5/9/2019,20.43
5/10/2019,20.28
5/13/2019,20.93
5/14/2019,20.84
5/15/2019,20.79
5/16/2019,20.56
5/17/2019,20.75
5/20/2019,20.68
5/21/2019,20.71
5/22/2019,20.36
5/23/2019,20.44
5/24/2019,20.57
5/28/2019,20.42
5/29/2019,20.42
5/30/2019,20.77
5/31/2019,21.59
6/3/2019,22.49
6/4/2019,22.59
6/5/2019,22.63
6/6/2019,22.87
6/7/2019,22.89
6/10/2019,22.46
6/11/2019,22.59
6/12/2019,22.96
6/13/2019,23.24
6/14/2019,23.33
6/17/2019,23.46
6/18/2019,23.67
6/19/2019,24
6/20/2019,25.05
6/21/2019,25.21
6/24/2019,26.17
6/25/2019,25.63
6/26/2019,25.52
6/27/2019,25.33
6/28/2019,25.56
7/1/2019,24.58
7/2/2019,25.55
7/3/2019,25.65
7/5/2019,25.39
7/8/2019,25.42
7/9/2019,25.65
7/10/2019,26.2
7/11/2019,25.94
7/12/2019,26.21
7/15/2019,26.18
7/16/2019,26.05
7/17/2019,27.09
7/18/2019,28.25
7/19/2019,27.98
7/22/2019,28.19
7/23/2019,27.87
7/24/2019,28.15
7/25/2019,27.43
7/26/2019,27.28
7/29/2019,27.77
7/30/2019,27.83
7/31/2019,26.5
8/1/2019,27.85
8/2/2019,27.77
8/5/2019,28.6
8/6/2019,28.67
8/7/2019,29.26
8/8/2019,29.77
8/9/2019,29.36
8/12/2019,29
8/13/2019,28.45
8/14/2019,28.41
8/15/2019,28.73
8/16/2019,28.28
8/19/2019,27.93
8/20/2019,28.85
8/21/2019,28.7
8/22/2019,28.49
8/23/2019,29.64
8/26/2019,29.64
8/27/2019,30.56
8/28/2019,30.41
8/29/2019,29.66
8/30/2019,29.86
9/3/2019,30.37
9/4/2019,30.95
9/5/2019,29.31
9/6/2019,28.48
9/9/2019,27.73
9/10/2019,27.51
9/11/2019,27.72
9/12/2019,27.27
9/13/2019,26.64
9/16/2019,27.29
9/17/2019,28.12
9/18/2019,27.62
9/19/2019,28.1
